id,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng
16,88,Jeni's Splendid Ice Cream (Pepper Place),5,20,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts",$$$,"219 29th St S, Birmingham, AL, 35233",35233,33.5166,-86.78995
17,60,Exotic Wings &amp; Things,,,"Halal, Chicken, Wings",,"208 Green Springs Avenue South, Birmingham, AL, 35205",35205,33.484584,-86.823947
18,56,Papa Murphy's (1031 Montgomery Highway),,,Pizza,$,"1031 Montgomery Highway Suite 123, Vestavia Hills, AL, 35216",35216,33.4391227,-86.7883352
19,30,Falafel Cafe,4.9,48,"Middle Eastern, Mediterranean, Vegetarian, Greek, Healthy",$,"401 19th St S, Birmingham, AL, 35233",35233,33.5083529,-86.8031703
20,40,MrBeast Burger (838 Odum Road),3.7,19,"American, Burgers, Sandwich",$$,"838 Odum Road, Gardendale, AL, 35071",35071,33.64548,-86.82626
21,43,Magic City Nutrition,,,"Juice and Smoothies, Bubble Tea, Healthy, Fruit",,"2201 2nd Ave S, Birmingham, AL, 35233",35233,33.51211,-86.79992
22,42,Miami Fusion Cafe,,,"Caribbean, Cuban, Coffee and Tea, Breakfast and Brunch",$,"2015 5th Ave N, Birmingham, AL, 35203",35203,33.5181892,-86.8073174
23,37,Golden Temple Vegetarian Cafe,,,"Juice and Smoothies, Drinks, Comfort Food",,"1901 11th Ave S, Birmingham, AL, 35205",35205,33.49984,-86.79708
24,32,Cinnabon baked at Flying J (224 Daniel Payne Drive),,,"Bakery, Desserts",$,"224 Daniel Payne Drive, Birmingham, AL, 35207",35207,33.56226,-86.83071
25,135,Rjt Rae'z Wings &amp;Thiings Bbq,,,"Wings, Burgers, Sandwiches",,"100 3rd Avenue North, Birmingham, AL, 35204",35204,33.50711,-86.8344
26,123, Five Point Public House Oyster Bar,,,"Seafood, Sushi, Steak",$,"1210 20th St S, Birmingham, AL, 35205",35205,33.49906,-86.79597
27,113,Ruscelli's Food Truck at Mojo Pub,4.7,100,"Italian, Exclusive to Eats",$,"2801 7th Ave S, Birmingham, AL, 35233",35233,33.5111302,-86.7883882
28,107,Sunny &amp; Fine's Breakfast Burritos (541-B Graymont Ave),,,"Mexican, Breakfast and Brunch, Burritos",$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.5098,-86.85464
29,104,Hollywood Grill Food Truck #1 ,,,"Wings, Burgers, BBQ",$$,"5951 Warrior River Road, Bessemer, AL, 35023",35023,33.46968,-87.03905
30,103,Grilled Gold (541-B Graymont Ave),,,"American, Comfort Food",$$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.51104,-86.82711
31,101,Hollywood Grill #2,,,"Black-owned, Burgers, Comfort Food, Wings, Exclusive to Eats",$$,"811 Illinios Rd, Birmingham, AL, 35221",35221,33.4404105,-86.9068596
32,96,Allstar Diner,,,"Ice Cream &amp; Frozen Yogurt, Comfort Food, Desserts, Exclusive to Eats",$,"5704 Birmingport Rd, Sylvan Springs, AL, 35118",35118,33.508498,-87.030447
33,88,Wings R King Express,,,"Salads, Sandwich, Wings, Burgers, Seafood, Healthy, Black-owned",$$$,"1137 Arkadelphia Road, Birmingham, AL, 35204",35204,33.52272,-86.84984
34,81,Gus's Hot Dogs,,,Hot Dog,$$,"14 Rex Ln, Adamsville, AL, 35005",35005,33.58787,-86.9364
35,80,Starbucks (Hwy 11 and Avenue W),4.6,21,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea",$,"2401 Crossplex Boulevard 101, Birmingham, AL, 35208",35208,33.4979443,-86.8743905
36,77,"Moe's Southwest Grill (655 Fieldstown Road, Suite #158)",4.8,24,"Mexican, Fast Food, Salads, Healthy",$,"655 Fieldstown Road, Gardendale, AL, 35071",35071,33.6497578,-86.8239419
37,66,La Tia Paisa Taco Shop,4.3,24,"Mexican, Breakfast and Brunch, Burritos",$$,"406 W Valley Ave, Homewood, AL, 35209",35209,33.47075,-86.82614
38,61,CHOP N FRESH,4.8,39,"Salads, Vegetarian, Bowls",$,"291 Rele Street, Mountain Brook, AL, 35223",35223,33.48604,-86.77366
39,56,Underground Vegan,4.8,62,"Vegan, Healthy, Vegetarian",$,"2012 Magnolia Avenue South R3, Birmingham, AL, 35205",35205,33.5009,-86.79627
40,51,Cicis (808 Greensprings Highway Suite 132),4.4,21,pizza,$,"808 Green Springs Highway, Homewood, AL, 35209",35209,33.460857,-86.819214
41,15,McAlister's Deli  (1801 4th Avenue South),4.7,100,"Sandwich, Salads, Healthy, Family Meals",$,"1801 4th Ave S, Birmingham, AL, 35233",35233,33.50715,-86.80399
42,13,"Firehouse Subs (3477  Lowery Parkway, Suite 115)",4.7,23,"Sandwich, Deli",$,"3477  Lowery Parkway, Suite 115, Fultondale, AL, 35068",35068,33.6052125,-86.8056205
43,9,Taco Bell (2300 Bessemer Rd.),4.1,91,"Burritos, Fast Food, Mexican",$,"2300 Bessemer Rd., Birmingham, AL, 35208",35208,33.4979239,-86.8757924
44,7,Dreamcakes Bakery,4.9,17,"Bakery, Desserts, Exclusive to Eats",$$,"960 Oxmoor Rd, Birmingham, AL, 35209",35209,33.473785,-86.808536
45,25,The Baisakhi Dhaba,,,"Indian, Pasta, Pizza",,"1801 4th Ave S, Birmingham, AL, 35233-1944",35233-1944,33.50761,-86.80482
46,21,Veggie Mania,,,"Vegetarian, Vegan, Indian, Pakistani, Indian Curry",,"1024 20th Street South unit 101, Birmingham, AL, 35205",35205,33.5009,-86.7969
47,20,Silver Kati,,,"Indian, Vegetarian, Asian, Healthy",$,"1821 N 2nd Ave, Birmingham, AL, 35203",35203,33.5142912,-86.8078778
48,9,China Master Express,4.6,28,"Chinese, Comfort Food",,"1801 4th Ave S, Birmingham, AL, 35233",35233,33.50761,-86.80482
49,74,"Pasta La Vista, Baby",,,"Italian, Pasta, Comfort Food",$,"1623 2nd Avenue North, Birmingham, AL, 35203",35203,33.512981,-86.810616
50,73,Taziki's Mediterranean Café (2737 Highway 280 South),,,"Healthy, Sandwich, Soup",$$,"2737 Highway 280 South, Birmingham, AL, 35223",35223,33.47991,-86.77426
51,70,China 1,,,"Chinese, Chicken, Noodles",,"357 Walker Chapel Plz, Fultondale, AL, 35068",35068,33.61121,-86.79742
52,68,Veggie Wonderland,,,"Indian, Vegetarian, Vegan, Indian Curry, Healthy",,"1024 20th Street South Unit 101, Birmingham, AL, 35205",35205,33.5009,-86.7969
53,65,Chez Lulu,4.3,29,"French, Pizza, Salads, Sandwich, Healthy, Desserts",$,"1911 Cahaba Rd, Birmingham, AL, 35223",35223,33.4955577,-86.7814333
54,64,Bayleaf Authentic Indian Cuisine,4.7,56,"Indian, Vegetarian, Asian, Healthy",$,"1024 20th St S, 101, Birmingham, AL, 35205",35205,33.5009661,-86.7968513
55,63,Sushi Village (Crestwood Blvd),4.8,100,"Sushi, Asian, Japanese",$$,"7001 Crestwood Boulevard, Birmingham, AL, 35213",35213,33.52812,-86.72866
56,61,Great Wall Chinese Restaurant,4.6,100,"Chinese, Seafood, Noodles",,"706 Valley Ave, Birmingham, AL, 35209",35209,33.4764166,-86.8156829
57,56,Yoe Xpress (28th Ave S),4.5,35,"Chinese, Asian, Cantonese",,"1919 28th Ave S, Birmingham, AL, 35209",35209,33.48093,-86.78783
58,55,Yoe Express,,,"Chinese, Asian, Asian Fusion",$,"1919 28th Ave S, Homewood, AL, 35209",35209,33.48093,-86.78783
59,53,Kumo Sushi &amp; Asian,,,"Sushi, Asian, Japanese",$,"835 Odum Rd #107, Gardendale, AL, 35071",35071,33.64613,-86.82696
60,51,Chuck E. Cheese (500 Old Town Rd),,,Pizza,$,"500 Old Town Rd, Birmingham, AL, 35216",35216,33.419761,-86.798175
61,50,Magic Wok,4.6,61,"Chinese, Vegetarian, Soup",,"401 19th St S, Birmingham, AL, 35233",35233,33.50805,-86.80287
62,49,Moon Star Chinese Asian &amp; Wings,4.3,79,"Chinese, Asian",$$,"191 W Valley Ave, Homewood, AL, 35209",35209,33.4648283,-86.83722
63,44,Sol Azteca,4.6,59,"Mexican, Seafood",$,"1360 Montgomery Hwy 128, Vestavia Hills, AL, 35216",35216,33.4261627,-86.7939687
64,43,China Garden,4.6,34,"Asian, Seafood, Noodles",,"3102 Allison-Bonnett Memorial Dr, Hueytown, AL, 35023",35023,33.4549,-86.989
65,42,Biryani Bowl,,,"Indian, Vegetarian, Asian",,"22 Green Springs Highway, Homewood, AL, 35209",35209,33.474182,-86.826475
66,41,Makarios Kabobs &amp; Grill,4.9,37,"Mediterranean, Greek, Vegetarian",,"940 20th St South, Birmingham, AL, 35205",35205,33.50253,-86.79778
67,39,Egg roll express,4.2,50,"Asian, Chicken, Chinese",$,"100 Bessemer Super Hwy, Birmingham, AL, 35228",35228,33.46308,-86.91145
68,40,Los Arcos Mexican Restaurant,4.3,100,"Mexican, Salads, Tacos",$,"7001 Crestwood Blvd, Birmingham, AL, 35210",35210,33.52812,-86.72866
69,38,New China Town,4.3,100,"Chinese, Asian, Asian Fusion",$,"1020 20th St S, Birmingham, AL, 35205",35205,33.5011135,-86.7969805
70,35,Fuji Hibachi Express ,4.8,52,"Japanese, Chinese, Asian",$,"790 Montgomery Hwy, Vestavia Hills, AL, 35216",35216,33.444622,-86.792775
71,34,Sitar,4.3,100,"Indian, Vegetarian, Asian, Healthy",$,"1801 4th Ave S, 115, Birmingham, AL, 35233",35233,33.50724,-86.8037743
72,32,Red Sea Ethiopian and Mediterranean,4.5,31,"Mediterranean, Greek, Vegetarian",,"22 Green Springs Highway, Birmingham, AL, 35209",35209,33.47422,-86.82647
73,28,Rice Bowl,4.3,19,"Asian, Chinese, Comfort Food",$,"2808 7th Avenue South, Birmingham, AL, 35233",35233,33.51169,-86.78845
74,26,Karams Restaurant,4.4,30,"Mediterranean, Desserts, Salads",,"715 18th St N, Birmingham, AL, 35203-2207",35203-2207,33.51961,-86.81257
75,19,The Purple Onion Deli &amp; Grill (Green Springs Hwy),4.6,100,"Mediterranean, Greek, Vegetarian",,"479 Green Springs Hwy, Birmingham, AL, 35209",35209,33.46236,-86.81865
76,10,Rock N Roll Sushi (UAB/Downtown),4.6,100,"Asian Fusion, Seafood, Salads",,"420 Richard Arrington Junior Boulevard South, Birmingham, AL, 35233",35233,33.5091,-86.80037
77,8,New China (2142 Tyler Rd),4.6,34,"Chinese, Soup, Seafood",,"2142 Tyler Rd, Birmingham, AL, 35226",35226,33.41647,-86.84451
78,7,The Baisakhi Dhaba,,,"Indian, Vegetarian, Asian",,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
79,5,The Vegan Bowl,,,"Vegetarian, Vegan, Healthy",,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
80,4,Vegans Vessel,,,"Indian, Vegetarian, Salads",,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
81,3,Cafe Gunpowder,,,"Indian, Vegetarian, Asian",,"1801 4th Avenue South, Ste 115, Birmingham, AL, 35233",35233,33.50761,-86.80482
82,161,Shrimp Basket (Gardendale),,,"Seafood, American, Southern",$,"550 Fieldstown Rd, Gardendale, AL, 35071",35071,33.6527092,-86.8200246
83,160,River Fish Market,,,"Seafood, American, Drinks",,"1928 Vanderbilt Rd, Birmingham, AL, 35234",35234,33.54945,-86.7901
84,159,Fried Green Tomato's,,,"Soul Food, American, Southern",$,"1615 Montgomery Hwy, 132, Birmingham, AL, 35216",35216,33.3984,-86.80491
85,158,The Grill at Iron City,,,"Burgers, American, Sandwiches, Comfort Food, Southern",$,"2208 6th Avenue South, Birmingham, AL, 35233",35233,33.5089462,-86.7977206
86,157,SOCU Southern Kitchen + Oyster Bar Birmingham,,,"Seafood, American, Southern",,"1821 2nd Avenue North, Birmingham, AL, 35203",35203,33.51416,-86.80798
87,156,Cajun Bistro Downtown,4,30,"Seafood, American, Southern",,"1905 Park Place, Birmingham, AL, 35203",35203,33.51918,-86.81036
88,155,Bobby Carl's Table ,,,"American, Southern, Comfort Food",$$,"2031 Cahaba Rd, Mountain Brook, AL, 35223",35223,33.4946629,-86.7812689
89,154,Sugar Daddys BBQ,,,"BBQ, American, Burgers",$,"1486 Minor Parkway, Birmingham, AL, 35224",35224,33.55141,-86.92616
90,153,Carter's Seafood,,,"Seafood, American, Southern, Exclusive to Eats",$,"512 Reverend Abraham Woods Jr Blvd, Birmingham, AL, 35204",35204,33.5139486,-86.827653
91,152,McFly's Bird Shoppe,,,"Burgers, American, New American",$,"1024 20th Street South, Birmingham, AL, 35205",35205,33.5009798,-86.796851
92,151,D-Icon Bar and Lounge,,,"Burgers, American, Sandwiches",,"4847 Richard Arrington Junior Boulevard North, Birmingham, AL, 35212",35212,33.54333,-86.76253
93,150,Little Savannah Restaurant &amp; Bar,,,"Burgers, American, Sandwiches",$,"3811 Clairmont Ave S, Birmingham, AL, 35222",35222,33.5146874,-86.7739077
94,149,Dram Whiskey Bar,,,"American, Burgers",$$$,"2721 Cahaba Rd, Mountain Brook, AL, 35223",35223,33.4841173,-86.7734848
95,148,Rogue Tavern (2nd Ave N),,,"American, Exclusive to Eats",$$,"2312 2nd Ave N, Birmingham, AL, 35203",35203,33.5178692,-86.8016994
96,147,Zulas,,,"Burgers, American, Sandwiches",$,"2125 Highland Ave, Birmingham, AL, 35205",35205,33.499634,-86.792458
97,144,The Southern Kitchen &amp; Bar,,,"BBQ, American, Burgers",$,"2301 Richard Arrington Jr Blvd N, Birmingham, AL, 35203",35203,33.52617,-86.80778
98,142,Potatoe Potatohz Perfic Pizza ,,,"Pizza, American, Wings",,"707 Richard Arrington Jr Blvd S, Birmingham, AL, 35233-2105",35233-2105,33.50655,-86.79829
99,141,Martys,,,"American, Burgers, Exclusive to Eats",$$,"1813 10th Ct S, Birmingham, AL, 35205",35205,33.5001807,-86.7993151
100,139,KC Wings,,,"Wings, American, Fast Food",,"2501 Avenue E, Birmingham, AL, 35218",35218,33.507739,-86.900656
101,138,The Craft Burger (Downtown),,,"American, Burgers",$$,"321 20th St N, Birmingham, AL, 35203",35203,33.5170646,-86.8070706
102,137,Exotic Wings &amp; Things,,,"Comfort Food, American, Wings",$,"2520 12th ave. N, Birmingham, AL, 35234",35234,33.5311,-86.80644
103,135,10th Ave Deli Shark Fish and Chicken ,,,"Wings, American, Fast Food",,"4500 Richard Arrington Junior Boulevard North, Birmingham, AL, 35212",35212,33.54327,-86.76939
104,134,Power Up! Breakfast Bowls (541-B Graymont Ave),,,"American, Breakfast and Brunch, Coffee and Tea",$$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.50915,-86.84565
105,132,Hot Chx Nashville Hot Chicken (541-B Graymont Ave),,,"American, Chicken, Sandwiches",$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.5098,-86.85464
106,130,Taqueria La Herradura,,,"Mexican, Breakfast and Brunch, Soup",,"344 Finley Avenue West, Birmingham, AL, 35204",35204,33.5346,-86.84286
107,129,THE BACK PORCH (A CHEF RON'S PLACE),,,"Comfort Food, American, Burgers",,"1924 1st Avenue North, Bessemer, AL, 35020",35020,33.40241,-86.95105
108,128,Cabo Coastal Grill,,,"Mexican, Latin American, New Mexican",,"100 Frankfurt Cir Ste A, Birmingham, AL, 35211",35211,33.43843,-86.86611
109,127,Breakfast Beauties (541-B Graymont Ave),,,"American, Sandwiches, Burgers",$$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.51104,-86.82711
110,125, Don't Grill My Cheese ,,,"American, Deli, Sandwiches",$,"541-B Graymont Ave, Birmingham, AL, 35204",35204,33.5098,-86.85464
111,124,Post Office Pies (Avondale),4.6,32,"Pizza, American, Italian",$,,,33.52467,-86.7739
112,121,Monita's Bakery,,,"Breakfast and Brunch, American, Coffee and Tea",$,"1021 Main Street, Gardendale, AL, 35071",35071,33.652756,-86.810991
113,120,The Perfect Catch Bar and Grill,,,"American, Sandwiches, Pasta",,"526 19th Street Ensley, Birmingham, AL, 35218",35218,33.512842,-86.895919
114,119,Tina and Ginas,,,"Sandwich, Fast Food, Healthy",$,"1821 2nd Avenue North, Birmingham, AL, 35203",35203,33.51416,-86.80798
115,118,D's Tamales Togo,,,"Wings, American, Fast Food, Mexican",$,"258 Forest Rd, Hueytown, AL, 35023",35023,33.4518609,-86.9817898
116,117,On Tap Sports Cafe (Fultondale),,,"Burgers, American, Wings",$,"1600 Main St, Fultondale, AL, 35068",35068,33.60897,-86.8007
117,116,Tin Roof,3.8,18,"Burgers, American, Sandwiches",$,"2709 7th Ave S, Birmingham, AL, 35233",35233,33.51057,-86.78961
118,115,Wingout Express (1806 AVENUE V),,,"Burgers, American, Sandwiches",$,"1806 AVENUE V, BIRMINGHAM, AL, 35218",35218,33.51088,-86.87965
119,114,Wings Around The Clock,,,"Comfort Food, American, Wings",$,"801 20th St S, Birmingham, AL, 35205",35205,33.5047,-86.79865
120,112,Taqueria Los Primos,4.2,18,"Mexican, Latin American, New Mexican",$,"3133 Lorna Rd, Hoover, AL, 35216",35216,33.3996699,-86.8026855
121,111,WingOut Express (14 Green Springs Highway),,,"Comfort Food, American, Wings",$,"14 Green Springs Highway, Birmingham, AL, 35209",35209,33.47428,-86.82649
122,110,KJs wings and BBQ,4.3,23,"Wings, American, Fast Food",,"1159 Bankhead Highway West, Birmingham, AL, 35204",35204,33.532145,-86.855994
123,109,Top That Grille II,4.4,18,"American, Wings, Burgers",$,"1371 Bessemer Rd, Birmingham, AL, 35208",35208,33.48164,-86.89332
124,107,Eugene's Hot Chicken,4.2,78,"American, Sandwich, Chicken",,"2268 9th Ave N, Birmingham, AL, 35203",35203,33.5249552,-86.8075938
125,106,Big Bad Breakfast (1926 29th Ave S),4.6,100,"Breakfast and Brunch, American, Sandwiches",$,"1926 29th Avenue South, Homewood, AL, 35209",35209,33.4797074,-86.7882391
126,105,Urban Smoke Bar and Grill,4.7,12,"American, Sandwiches, Burgers",,"7100 Aaron Aronov Dr., Fairfield, AL, 35064",35064,33.46930616,-86.91808576
127,104,Chick-fil-A (385 Fieldstown Rd),4.7,68,"American, Fried Chicken, Southern, Sandwich, Fast Food",$,"385 Fieldstown Rd, Gardendale, AL, 35071",35071,33.65146,-86.81553
128,102,Michael's Steaks &amp; Seafood,,,"American, Steak, Seafood",$$,"1525 1st Avenue South, Birmingham, AL, 35233",35233,33.508594,-86.810383
129,103,Najis Pita Gourmet Restaurant,,,"Mediterranean, Greek, Vegetarian, Healthy",$,"166 W Valley Ave, Birmingham, AL, 35209",35209,33.4638336,-86.8397305
130,100,Urban Cookhouse (Birmingham),4.8,19,"American, Sandwich, Salads",,,,33.51668,-86.81039
131,99,Ruth's Chris Steak House Brimingham (2300 Woodcrest Pl),4.3,18,"Steak, American",$,"2300 Woodcrest Pl, Birmingham, AL, 35209",35209,33.4886762,-86.7884353
132,98,Ruby Sunshine (Homewood),4.3,47,"Breakfast and Brunch, American, Sandwiches, Family Meals",$,"1017 OXMOOR ROAD, Birmingham, AL, 35209",35209,33.4735999,-86.80775
133,97,First Watch (Vestavia),4.8,49,"American, Breakfast and Brunch, Juice and Smoothies, Healthy, Family Meals",$$,"700 Montgomery Hwy, Birmingham, AL, 35216",35216,33.4463237,-86.791898
134,95,Champs Sandwich Shop,,,"Sandwiches, American, Burgers",,"216 19th Street North, Bessemer, AL, 35020",35020,33.40217,-86.95335
135,93,Smoothie King (420 Greensprings Hwy),,,"American, Healthy, Juice and Smoothies",$$,"420 Greensprings Hwy, Homewood, AL, 35209",35209,33.46431,-86.82115
136,90,Roly Poly (Homewood),4.9,47,"Sandwiches, American, Healthy",,"2910 18th Street South, Homewood, AL, 35209",35209,33.47817,-86.79194
137,89,Post Office Pies Mountain Brook,4.6,54,"Pizza, Italian, Pasta",$,"270 Rele St, Mountain Brook, AL, 35223",35223,33.48637,-86.77374
138,88,Ebenezer Mexican Restaurant,,,"Mexican, Latin American, New Mexican",,"10 14th Street, Bessemer, AL, 35020",35020,33.39516,-86.95482
139,86,Dunkin (300 Commons Dr),4.7,18,"Breakfast &amp; Brunch, Donuts",$,"300 Commons Dr, Birmingham, AL, 35209",35209,33.44203,-86.83068
140,85,Good Health To Be Hail Cafe and Juice Bar,,,"Vegan, Wings, Fast Food, Desserts, Breakfast and Brunch",,"1920 8th Ave N, Bessemer, AL, 35020",35020,33.40697,-86.95921
141,84,Pizza Passion,4.3,15,"Pizza, American, Italian",$$,"6805 1st Avenue North, Birmingham, AL, 35206",35206,33.55169,-86.73818
142,83,The Purple Onion  (Montclair),4.6,37,"Mediterranean, Greek, Comfort Food",,"1545 Montclair Road, Birmingham, AL, 35210",35210,33.52385,-86.72464
143,82,Wings  R King (2802 Lakeshore),4.1,51,"Wings, American, Fast Food",$,"2802 Lakeshore Parkway, Birmingham, AL, 35211",35211,33.42455,-86.88753
144,80,Godfather's Pizza (231 State Farm Pkwy),4.9,16,"Pizza, American, Italian",$$,,,33.44629,-86.82708
145,79,Bell Peppers,,,"American, Sandwiches, Pizza",,"144 River Square Plaza, Hueytown, AL, 35023",35023,33.45259,-86.98445
146,78,La Paz (Euclid Ave),4.7,100,"Mexican, Latin American, New Mexican",,"99 Euclid Ave, Birmingham, AL, 35213",35213,33.5032,-86.75708
147,76,Taqueria Juarez,4.9,62,"Mexican, Tacos, Latin American",$,"1630 Montgomery Highway, Hoover, AL, 35226",35226,33.39676078,-86.80678149
148,75,Olipita Mediterranean and American Grill,4.9,16,"Mediterranean, American, Chicken",$,"837 Park Rd, Pleasant Grove, AL, 35127",35127,33.4912458,-86.977125
149,74,Little Italy's Pizza and Pints,4.4,100,"Pizza, American, Italian",$,"1924 11th Ave S, Birmingham, AL, 35205",35205,33.5005407,-86.7968779
150,73,Nothing But Noodles (Mountain Brook),4.7,100,"Chinese, Asian, Noodles",$,"2800 Cahaba Village Plz, Mountain Brook, AL, 35243",35243,33.4612,-86.75404
151,72,Urbano Taco -Bar,4.4,21,"Mexican, Latin American, Spanish",$$,"6400 1st Ave N, Birmingham, AL, 35212",35212,33.54819,-86.74283
152,71,Speedy's Mexican Foods,4.6,45,Mexican,,"275 Forest Rd, Hueytown, AL, 35023",35023,33.45407,-86.98165
153,70,Market Fresh (2100 7TH AVE S),4.1,26,"American, Fast Food, Sandwich",$,"2100 7Th Ave S, Birmingham, AL, 35233",35233,33.50699,-86.79837
154,69,Destiny On The 1,4.1,37,"Soul Food, American, Burgers",,"3030 Dartmouth Avenue, Bessemer, AL, 35020",35020,33.41126,-86.93522
155,68,Little Donkey Mexican Restaurant | Homewood,4.7,96,"Mexican, Latin American, Comfort Food",$,"2701 18th Street South, Birmingham, AL, 35205",35205,33.48294,-86.79133
156,67,The Juicy Seafood,4.3,76,"Seafood, American, Southern",$$,"7724 Ludington Lane, Birmingham, AL, 35210",35210,33.532035,-86.717439
157,66,Wasabi Juan's (Downtown),5,11,"Sushi, Burritos, Tacos",$,"2201 2nd Ave S Suite 105, Birmingham, AL, 35233",35233,33.51211,-86.79992
158,65,Urban Cookhouse (Crestline),4.9,48,"Salads, American, Sandwich",,"212 Country Club Park, Mountain Brk, AL, 35213",35213,33.50194,-86.75774
159,64,Hardee's (1616 Decatur Hwy),,,"American, Breakfast and Brunch, Burgers, Chicken, Fast Food, Sandwich",$,"1616 Decatur Hwy, Fultondale, AL, 35068",35068,33.60959,-86.79739
160,63,Dockside Charlie's (1709 Fulton Rd),,,"American, Seafood",$$,"1709 Fulton Rd, Fultondale, AL, 35068",35068,33.60956,-86.80566
161,62,Alfredo's Pizza Cafe,3.9,32,"Pizza, American, Italian, Sandwich, Salads",,"803 Green Springs Highway, 803, Homewood, AL, 35209",35209,33.46167,-86.81806
162,61,Woodbury's Food for the Soul,,,"Burgers, American, Sandwiches",$$,"4814 Main Street, Adamsville, AL, 35005",35005,33.60057,-86.95338
163,60,Newk's Eatery (611 Richard Arrington Jr Blvd S),4.6,100,"Sandwiches, American, Healthy",$,"611 Richard Arrington Jr Blvd S, Birmingham, AL, 35233",35233,33.5073143,-86.7986601
164,59,Cosmic Wings - 5 Points West,3.5,13,"American, Bar Food, Wings, Fast Food, Chicken, Family Meals, Exclusive to Eats, Comfort Food",$,"2246 Bessemer Road, Birmingham, AL, 35207",35207,33.49759,-86.87686
165,58,Huddle House (2751 Allison Bonnet Memorial Hwy),3.8,80,"American, Breakfast &amp; Brunch, Salads",$,"2751 ALLISON BONNET MEMORIAL HWY, HUEYTOWN, AL, 35023",35023,33.45479,-86.96679
166,57,Panera (1400 University Blvd),4.7,55,"Breakfast and Brunch, salad, Sandwich, Pizza, Healthy, American, Chicken",$,"1400 University Blvd, Birmingham, AL, 35233",35233,33.5016263,-86.8071057
167,56,Greenhouse,4.9,100,"Salads, American, Vegetarian, Healthy",$,"1017 Oxmoor Rd, Birmingham, AL, 35209",35209,33.4736204,-86.80759
168,55,Hootie's Chicken Tenders (1278 Oak Grove Road),,,"American, Chicken Strips, Wings, Chicken",$,"1278 Oak Grove Road, Birmingham, AL, 35209",35209,33.44328,-86.82908
